iter	Passed	Remaining
0	1	101
1	1	94
2	2	89
3	3	80
4	4	84
5	5	86
6	6	87
7	7	85
8	8	84
9	9	81
10	9	79
11	10	78
12	11	76
13	12	76
14	13	75
15	14	73
16	14	72
17	15	71
18	16	70
19	17	69
20	18	67
21	18	66
22	19	66
23	21	67
24	22	66
25	23	65
26	23	64
27	24	63
28	25	62
29	26	61
30	27	61
31	28	60
32	29	59
33	30	58
34	31	58
35	32	57
36	33	56
37	34	56
38	35	55
39	36	54
40	37	53
41	37	51
42	38	50
43	39	49
44	40	49
45	41	48
46	41	47
47	42	46
48	43	45
49	44	44
50	45	43
51	45	42
52	46	41
53	47	40
54	47	39
55	48	38
56	50	37
57	51	37
58	52	36
59	52	35
60	53	34
61	54	33
62	55	32
63	56	31
64	57	31
65	58	30
66	60	29
67	60	28
68	61	27
69	62	26
70	63	25
71	64	25
72	65	24
73	66	23
74	67	22
75	67	21
76	68	20
77	69	19
78	70	18
79	71	17
80	71	16
81	72	15
82	73	15
83	74	14
84	74	13
85	75	12
86	76	11
87	77	10
88	78	9
89	78	8
90	79	7
91	80	7
92	81	6
93	82	5
94	83	4
95	84	3
96	84	2
97	85	1
98	86	0
99	87	0
